date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:17	135/135	---M--	200	added ('OK')	image/png	etag:%220e7e9a14c6aca1:f9b%22	http://img1.wsimg.com/fos/bdr/shadow_right.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/bdr/shadow_right.png	(from )
11:58:18	329/329	---M--	200	added ('OK')	image/png	etag:%2278f9c55b186dca1:f9b%22	http://img1.wsimg.com/fos/bdr/shadow_sw.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/bdr/shadow_sw.png	(from )
11:58:18	134/134	---M--	200	added ('OK')	image/png	etag:%220d86a384e6aca1:a9a%22	http://img1.wsimg.com/fos/bdr/shadow_bottom.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/bdr/shadow_bottom.png	(from )
11:58:18	351/351	---M--	200	added ('OK')	image/png	etag:%226ab6704d186dca1:bd5%22	http://img1.wsimg.com/fos/bdr/shadow_se.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/bdr/shadow_se.png	(from )
11:58:19	135/135	---M--	200	added ('OK')	image/png	etag:%22c255cd89f616ca1:d25%22	http://img1.wsimg.com/fos/bkg/1/bkgr_trans.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/bkg/1/bkgr_trans.png	(from )
11:58:19	2396/2396	---M--	200	added ('OK')	image/png	etag:%22bcb98ed510a4c91:d25%22	http://img1.wsimg.com/fos/hp/1/hp_base_4.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/hp/1/hp_base_4.png	(from )
11:58:20	1751/1751	---M--	200	added ('OK')	image/gif	etag:%22069c26184c3c91:bb0%22	http://img1.wsimg.com/fos/btn/1/btn_29234_buynow_d2.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/btn/1/btn_29234_buynow_d2.gif	(from )
11:58:20	2371/2371	---M--	200	added ('OK')	image/gif	etag:%2280e13c7aeb53c91:d25%22	http://img1.wsimg.com/fos/hp/1/hp_img_ringingbells.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/hp/1/hp_img_ringingbells.gif	(from )
11:58:21	2432/2432	---M--	200	added ('OK')	image/gif	etag:%220b2a8efeb53c91:1129%22	http://img1.wsimg.com/fos/hp/1/hp_img_vip.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/hp/1/hp_img_vip.gif	(from )
11:58:21	1171/1171	---M--	200	added ('OK')	image/gif	etag:%229eb3e93fa3cac91:bb0%22	http://img1.wsimg.com/fos/btn/1/btn_29234_expressbuyv3.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/btn/1/btn_29234_expressbuyv3.gif	(from )
11:58:21	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Mar%202011%2014:58:20%20GMT	http://img1.wsimg.com/fos/btn/1/btn_tabs_sprite.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/btn/1/btn_tabs_sprite.1e.delayed	(from )
11:58:22	16393/16393	---M--	200	added ('OK')	image/png	etag:%2280c4b5ff74a6ca1:1158%22	http://img1.wsimg.com/fos/btn/1/buttons_arrows_tabs_sprite2.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/btn/1/buttons_arrows_tabs_sprite2.png	(from )
11:58:22	793/793	---M--	200	added ('OK')	image/gif	etag:%228e3bcb9bf1dc91:f9b%22	http://img1.wsimg.com/fos/ani/spinner.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/ani/spinner.gif	(from )
11:58:22	3208/3208	---M--	200	added ('OK')	image/gif	etag:%22a8ca162d67a3ca1:d25%22	http://img1.wsimg.com/fos/ani/spinner_large.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/ani/spinner_large.gif	(from )
11:58:23	43/43	---M--	200	added ('OK')	image/gif	etag:%220eb119724d5c51:b81%22	http://img1.wsimg.com/assets/spc_trans.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/assets/spc_trans.gif	(from )
11:58:24	324/324	---M--	200	added ('OK')	image/png	etag:%22622368a6ad9eca1:1043%22	http://img1.wsimg.com/gdtv/btn/connection_high_active_grn.png	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/gdtv/btn/connection_high_active_grn.png	(from )
11:58:25	13761/13761	---M--	200	added ('OK')	image/jpeg	etag:%220c742f299f7ca1:bb0%22	http://img1.wsimg.com/fos/btn/1/44025_img_blogpod.jpg	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/btn/1/44025_img_blogpod.jpg	(from )
