what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1301682437797
ws,sysinfo,,,"win32",1301682437797
locale,sysinfo,,,"en_US",1301682437797
processors,sysinfo,,,"2",1301682437797
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301682437797
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1301682437797
java.specification.name,sysinfo,,,"Java Platform API Specification",1301682437797
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301682437797
java.specification.version,sysinfo,,,"1.6",1301682437797
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301682437797
java.version,sysinfo,,,"1.6.0_24",1301682437797
java.vm.info,sysinfo,,,"mixed mode, sharing",1301682437797
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1301682437797
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301682437797
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301682437797
java.vm.specification.version,sysinfo,,,"1.0",1301682437797
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301682437797
java.vm.version,sysinfo,,,"19.1-b02",1301682437797
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682437806
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110207-1700,"org.eclipse.team.svn.mylyn",1301682438671
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1301682441308
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1301682441942
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1301682442514
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1301682442852
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110207-1700,"org.eclipse.team.svn.core",1301682442970
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110207-1700,"org.eclipse.team.svn.ui",1301682444463
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110124-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1301682444693
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.textStart",1301682449466
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682450062
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1301682450090
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682452019
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682453656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682581004
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682581535
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682590352
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682590999
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682626517
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1301682629963
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1301682630095
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301682631755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301683854558
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301683857104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301683870157
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301683872008
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301690382380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301690385024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301692994767
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301693286653
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301693292758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301693292782
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1301693983602
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1301693983604
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1301693983604
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1301693983631
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1301693983648
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1301693983663
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1301693983680
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1301693983684
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1301693983684
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1301693983700
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1301693983701
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1301693983717
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1301693983717
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1301693983723
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1301693983734
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1301693983746
started,bundle,org.eclipse.dltk.core,2.0.0.v20100603-0936,"org.eclipse.dltk.core",1301693983757
started,bundle,org.eclipse.dltk.core.index.sql,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql",1301693983758
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1301693983807
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1301693983858
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1301693983858
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1301693983859
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1301693983916
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1301693983966
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1301693984014
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1301693984015
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1301693984017
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1301693984017
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1301693984043
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1301693984069
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1301693984077
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1301693984079
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1301693984091
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1301693984100
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1301693984100
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1301693984101
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1301693984123
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1301693984134
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1301693984150
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1301693984154
